ID,Produtividade,Experiencia,Erros_Reportados,Tempo_Conclusao
1,272,3,9,5.4
2,288,5,2,5.2
3,378,4,7,5.5
4,304,3,4,6.1
5,306,2,3,8.4
6,386,4,4,5.9
7,323,2,5,7.6
8,237,1,1,6.9
9,266,3,3,5.8
10,278,6,5,3.7
11,361,3,3,5.2
12,318,5,6,5.3
13,320,1,2,6.1
14,306,4,4,8
15,272,5,3,9.4
16,389,5,2,8.3
17,325,4,8,5.8
18,202,3,3,3.4
19,335,2,4,5.4
20,276,2,1,6.1
21,247,4,4,7.3
22,289,2,5,7.4
23,249,3,4,7
24,264,3,3,3.9
25,269,8,7,7.3
26,216,3,4,5.3
27,342,4,3,6.3
28,308,4,3,6.1
29,243,2,2,6.6
30,363,4,6,6
31,321,7,8,3.5
32,285,5,4,7.1
33,345,4,3,6.6
34,344,3,10,5.6
35,341,1,2,6.2
36,334,6,4,6.2
37,328,1,2,6.3
38,297,5,4,8.5
39,285,8,2,5.7
40,281,1,2,6.3
41,265,5,3,7.8
42,290,3,4,7.6
43,237,1,5,7.7
44,408,1,2,5.1
45,360,1,6,9
46,244,3,5,6.1
47,280,1,5,8.8
48,277,5,2,4
49,339,8,3,6
50,296,1,5,7.9
51,313,6,4,4.9
52,299,6,3,4.9
53,298,5,3,4.6
54,368,2,1,4.4
55,289,4,2,5.3
56,376,3,7,6.5
57,223,5,6,3
58,329,3,5,6.3
59,306,6,2,7.9
60,311,3,2,9.1
61,319,6,8,8
62,275,2,4,7.1
63,283,1,4,3.4
64,249,10,2,5.1
65,246,3,4,5.5
66,315,5,3,7.1
67,322,5,2,5.8
68,303,3,5,4.1
69,346,5,3,8.5
70,403,5,6,7.4
71,275,4,2,6.4
72,185,4,6,7.8
73,350,4,3,4
74,265,8,5,7
75,266,3,5,5.2
76,351,2,4,7
77,286,4,4,5.9
78,239,5,0,6.9
79,309,5,2,8
80,293,3,5,6
81,300,2,2,7.5
82,319,7,6,4.2
83,281,3,3,4.9
84,332,2,5,8.3
85,289,4,7,6.6
86,317,4,2,3
87,355,6,2,4
88,322,4,5,5.7
89,284,6,3,7.3
90,357,3,6,5.8
91,350,4,8,6.9
92,327,3,1,7.4
93,312,4,4,8.5
94,269,2,5,6.1
95,368,1,1,5.9
96,270,8,10,3.4
97,409,5,3,6.1
98,377,1,1,5.1
99,288,3,5,4.5
100,249,2,6,5.7
